"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 06 12:40:02 GMT 2022","Mon Jun 06 12:40:06 GMT 2022","4428","test_t4.test_common_bases","test_4_base_click_edit_product","","","","test_base_click_edit_product","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"broken","Mon Jun 06 12:40:16 GMT 2022","Mon Jun 06 12:40:36 GMT 2022","20420","test_t4.test_common_bases","test_6_save_delete_yml_feed","","","","test_create_delete_yml_feed","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Name""
     8) Заполнение поля ""Url products""
     9) Заполнение поля ""Url prices""
    10) Заполнение поля ""Url stocks""
    11) Нажатие кнопки ""Save""
    12) Возврат на ""Feeds list""
    13) Возврат в ""Edit feed config""
    14) Проверка сохраненного ""Url products""
    15) Проверка сохраненного ""Url prices""
    16) Проверка сохраненного ""Url stocks""
    17) Проверка сохраненного ""Name"" фида
    "
"passed","Mon Jun 06 12:39:50 GMT 2022","Mon Jun 06 12:39:52 GMT 2022","2066","test_t4.test_common_bases","test_2_choice_pipeline","","","","test_choice_pipeline","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Mon Jun 06 12:39:55 GMT 2022","Mon Jun 06 12:39:59 GMT 2022","4578","test_t4.test_common_bases","test_3_base_click_product_feed","","","","test_base_click_product_feed","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Mon Jun 06 12:40:09 GMT 2022","Mon Jun 06 12:40:13 GMT 2022","4417","test_t4.test_common_bases","test_5_base_click_published","","","","test_base_click_published","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
"passed","Mon Jun 06 12:39:46 GMT 2022","Mon Jun 06 12:39:47 GMT 2022","1206","test_t4.test_common_bases","test_1_login","","","","test_login","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
