"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест стенд v.0.9.7","Базовое тестирование","0","2","3","0","0"
"","Тест стенд v.0.9.7","Функциональное тестирование","0","1","1","0","0"
