"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест стенд v.0.9.10","Функциональное тестирование","0","0","2","0","0"
"","Тест стенд v.0.9.10","Базовое тестирование","0","1","4","0","0"
