"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 10:01:13 GMT 2022","Fri Jun 03 10:01:13 GMT 2022","0","test_t4.test_common_bases","test_2_choice_pipeline","","","","test_choice_pipeline","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"broken","Fri Jun 03 10:01:13 GMT 2022","Fri Jun 03 10:01:13 GMT 2022","0","test_t4.test_common_bases","test_3_base_click_product_feed","","","","test_base_click_product_feed","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"broken","Fri Jun 03 10:01:14 GMT 2022","Fri Jun 03 10:01:14 GMT 2022","0","test_t4.test_common_bases","test_4_base_click_edit_product","","","","test_base_click_edit_product","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"broken","Fri Jun 03 10:01:09 GMT 2022","Fri Jun 03 10:01:09 GMT 2022","0","test_t4.test_common_bases","test_1_login","","","","test_login","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
