"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 14:27:44 GMT 2022","Thu Jun 16 14:27:48 GMT 2022","4505","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Thu Jun 16 14:27:39 GMT 2022","Thu Jun 16 14:27:41 GMT 2022","2135","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Thu Jun 16 14:27:59 GMT 2022","Thu Jun 16 14:28:04 GMT 2022","5098","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
"passed","Thu Jun 16 14:27:51 GMT 2022","Thu Jun 16 14:27:56 GMT 2022","4961","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"passed","Thu Jun 16 14:27:35 GMT 2022","Thu Jun 16 14:27:36 GMT 2022","982","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
"passed","Thu Jun 16 14:28:07 GMT 2022","Thu Jun 16 14:28:46 GMT 2022","39659","test_t4.test_functional","test_7_add_feed_checkin_feed_product","","","","7) Импорт YML фида (без вариантов)","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Url"" для ""Product source""
     8) Выключение ""Price stock same config""
     9) Нажатие кнопки ""Save""
    10) Ожидание когда пропадет элемент ""Feed config save""
    11) Нажатие кнопки ""Load products""
    12) Ожидание когда пропадет элемент ""Feed product import started""
    13) Закрытие ""Add feed config""
    14) Открытие ""Product feed""
    15) Ввод в поле ""Search"" названия добавленного продукта
    16) Поиск в ""Feed products"" добавленного товара по дате добавления
    17) Проверка значения ""id"" в таблице и в YML feed
    18) Проверка значения ""Product"" в таблице и ""name"" в YML feed
    19) Проверка значения ""Sale"" в таблице и ""oldprice"" в YML feed
    20) Проверка значения ""Vendor"" в таблице и в YML feed
    21) Проверка значения ""Stock"" в таблице и в YML feed
    22) Открытие карточки импортированного товара
    "
