"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест стенд v.0.9.2","Базовое тестирование","0","0","5","0","0"
"","Тест стенд v.0.9.2","Функциональное тестирование","0","0","1","0","0"
