"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест стенд v.0.9.4","Базовое тестирование","0","0","5","0","0"
"","Тест стенд v.0.9.4","Функциональное тестирование","0","1","0","0","0"
