"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 06:42:45 GMT 2022","Tue Jul 26 06:43:11 GMT 2022","26845","test_t4.test_functional","test_7_add_feed_checkin_feed_product","","","","7) Импорт YML фида (без вариантов)","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Url"" для ""Product source""
     8) Нажатие кнопки ""Save""
     9) Поиск добавленного фида в ""Feeds list""
    10) Выбор добавленного фида
    11) Нажатие кнопки загрузки фида
    12) ожидание когда пропадет эллемент ""Feed product import started""
    13) Переход на ""feed list""
    14) Ожидание статуса ""Success"" для добавленного фида
    15) Закрытие ""Feed list""
    16) Открытие ""Product feed""
    17) Ввод в поле ""Search"" названия добавленного продукта
    18) Поиск в ""Feed products"" добавленного товара по дате добавления
    19) Проверка значения ""id"" в таблице и в YML feed
    20) Проверка значения ""Product"" в таблице и ""name"" в YML feed
    21) Проверка значения ""Sale"" в таблице и ""price"" в YML feed
    22) Проверка значения ""Vendor"" в таблице и в YML feed
    23) Проверка значения ""Stock"" в таблице и в YML feed
    24) Переход на общую страницу
    25) Переход на ""feed list""
    26) Открытие добавленного фида
    27) Нажатие кнопки ""Delete feed""
    28) Подверждение удаления фида
    "
"passed","Tue Jul 26 06:42:36 GMT 2022","Tue Jul 26 06:42:41 GMT 2022","5814","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков

    "
"passed","Tue Jul 26 06:43:15 GMT 2022","Tue Jul 26 06:48:11 GMT 2022","296821","test_t4.test_functional","test_8_change_feed_wb_price_stock","","","","8) Изменение цен/остатков на WB через YML feed","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feed Products""
     4) Ввод в поле ""Search"" ID тестового товара
     5) Проверка значения ""id"" в таблице для тестового товара
     6) Получение значения ""Sale"" в таблице для тестового товара'
     7) Получение значения ""Stock"" в таблице для тестового товара'
     8) Запрос к API WB, получение ""price"" и ""stock""
     9) Исходя из текущего ""price"" и ""stock"" выбор ""YML feed"" для изменения цен и остатков
    10) Возврат на страницу кубиков
    11) Открытие ""Feeds list""
    12) Выбор ""WB feed""
    13) Открытие списка ""File type""
    14) Выбор типа ""Yandex Feed""
    15) Заполнение поля ""Url"" для ""WB source""
    16) Нажатие кнопки ""Save""
    17) Ожидание когда пропадет элемент ""Feed config save""
    18) Выбор ""WB feed""
    19) Нажатие кнопки ""Load products""
    20) Ожидание когда пропадет эллемент ""Feed product import started""
    21) Переход на ""feed list"" нажатием кнопки ""<--""
    22) Ожидание статуса ""Success"" для добавленного фида
    23) Закрытие ""Feed list""
    24) Открытие ""Feed Products""
    25) Проверка значения ""id"" в таблице для тестового товара
    26) Получение значения ""Sale"" в таблице для тестового товара'
    27) Получение значения ""Stock"" в таблице для тестового товара'
    28) Сравнение измененных ""price"" и ""stock"", с значениями в таблице ""Feed products""
    29) Запрос к API WB, получение ""price"" и ""stock"", сравнение со значениями в таблице ""Feed products""
    "
"passed","Tue Jul 26 06:42:14 GMT 2022","Tue Jul 26 06:42:16 GMT 2022","2409","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Tue Jul 26 06:42:20 GMT 2022","Tue Jul 26 06:42:24 GMT 2022","4838","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Tue Jul 26 06:42:28 GMT 2022","Tue Jul 26 06:42:32 GMT 2022","4656","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"passed","Tue Jul 26 06:42:10 GMT 2022","Tue Jul 26 06:42:11 GMT 2022","1088","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
