"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тест стенд v.0.9.8","Функциональное тестирование","0","0","2","0","0"
"","Тест стенд v.0.9.8","Базовое тестирование","0","0","5","0","0"
