"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Базовое тестирование","2) Открытие пайплайна и выбор МП","0","0","1","0","0"
"","Базовое тестирование","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","0","0","1","0","0"
"","Базовое тестирование","1) Авторизация в системе T4MP.v2","0","0","1","0","0"
"","Базовое тестирование","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","0","0","1","0","0"
"","Базовое тестирование","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","0","0","1","0","0"
"","Базовое тестирование","6) Создание/удаление YML фида","0","1","0","0","0"
