"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 12 06:37:06 GMT 2022","Sun Jun 12 06:37:11 GMT 2022","4893","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Sun Jun 12 06:37:13 GMT 2022","Sun Jun 12 06:37:18 GMT 2022","4405","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"broken","Sun Jun 12 06:37:27 GMT 2022","Sun Jun 12 06:37:51 GMT 2022","24038","test_t4.test_common_bases","test_6_save_delete_yml_feed","","","","6) Создание/удаление YML фида","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Name""
     8) Заполнение поля ""Url"" для ""Product source""
     9) Нажатие кнопки ""Save""
    10) Возврат на ""Feeds list""
    11) Возврат в ""Edit feed config""
    12) Проверка сохраненного ""Url"" для ""Product source""
    13) Проверка сохраненного ""Name"" фида
    "
"passed","Sun Jun 12 06:36:58 GMT 2022","Sun Jun 12 06:36:59 GMT 2022","1416","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
"passed","Sun Jun 12 06:37:01 GMT 2022","Sun Jun 12 06:37:04 GMT 2022","2239","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Sun Jun 12 06:37:20 GMT 2022","Sun Jun 12 06:37:25 GMT 2022","4454","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
