"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 09 05:47:04 GMT 2022","Thu Jun 09 05:47:09 GMT 2022","4471","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"broken","Thu Jun 09 05:47:24 GMT 2022","Thu Jun 09 05:47:46 GMT 2022","22510","test_t4.test_common_bases","test_6_save_delete_yml_feed","","","","6) Создание/удаление YML фида","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Name""
     8) Заполнение поля ""Url"" для ""Product source""
     9) Нажатие кнопки ""Save""
    10) Возврат на ""Feeds list""
    11) Возврат в ""Edit feed config""
    12) Проверка сохраненного ""Url"" для ""Product source""
    13) Проверка сохраненного ""Name"" фида
    "
"passed","Thu Jun 09 05:47:11 GMT 2022","Thu Jun 09 05:47:15 GMT 2022","4298","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"passed","Thu Jun 09 05:47:17 GMT 2022","Thu Jun 09 05:47:22 GMT 2022","4291","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
"passed","Thu Jun 09 05:46:57 GMT 2022","Thu Jun 09 05:46:58 GMT 2022","874","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
"passed","Thu Jun 09 05:47:00 GMT 2022","Thu Jun 09 05:47:02 GMT 2022","1949","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
