"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 06:36:08 GMT 2022","Sat Jun 11 06:36:12 GMT 2022","4357","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"broken","Sat Jun 11 06:36:22 GMT 2022","Sat Jun 11 06:36:45 GMT 2022","23248","test_t4.test_common_bases","test_6_save_delete_yml_feed","","","","6) Создание/удаление YML фида","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Name""
     8) Заполнение поля ""Url"" для ""Product source""
     9) Нажатие кнопки ""Save""
    10) Возврат на ""Feeds list""
    11) Возврат в ""Edit feed config""
    12) Проверка сохраненного ""Url"" для ""Product source""
    13) Проверка сохраненного ""Name"" фида
    "
"passed","Sat Jun 11 06:36:00 GMT 2022","Sat Jun 11 06:36:05 GMT 2022","4639","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Sat Jun 11 06:36:15 GMT 2022","Sat Jun 11 06:36:19 GMT 2022","4389","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
"passed","Sat Jun 11 06:35:56 GMT 2022","Sat Jun 11 06:35:58 GMT 2022","2128","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Sat Jun 11 06:35:52 GMT 2022","Sat Jun 11 06:35:53 GMT 2022","983","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
