"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 06:40:51 GMT 2022","Tue Jul 19 06:41:10 GMT 2022","19447","test_t4.test_common_bases","test_5_base_click_published","","","","5) Открытие ""Published products"" и 1-ой карточки товаров из списка","1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков

    "
"passed","Tue Jul 19 06:40:17 GMT 2022","Tue Jul 19 06:40:26 GMT 2022","8609","test_t4.test_common_bases","test_3_base_click_product_feed","","","","3) Открытие ""Product feed"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
"passed","Tue Jul 19 06:40:12 GMT 2022","Tue Jul 19 06:40:15 GMT 2022","2213","test_t4.test_common_bases","test_2_choice_pipeline","","","","2) Открытие пайплайна и выбор МП","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Tue Jul 19 06:41:13 GMT 2022","Tue Jul 19 06:41:53 GMT 2022","40412","test_t4.test_functional","test_7_add_feed_checkin_feed_product","","","","7) Импорт YML фида (без вариантов)","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Url"" для ""Product source""
     8) Нажатие кнопки ""Save""
     9) Поиск добавленного фида в ""Feeds list""
    10) Выбор добавленного фида
    11) Нажатие кнопки загрузки фида
    12) ожидание когда пропадет эллемент ""Feed product import started""
    13) Переход на ""feed list""
    14) Ожидание статуса ""Success"" для добавленного фида
    15) Закрытие ""Feed list""
    16) Открытие ""Product feed""
    17) Ввод в поле ""Search"" названия добавленного продукта
    18) Поиск в ""Feed products"" добавленного товара по дате добавления
    19) Проверка значения ""id"" в таблице и в YML feed
    20) Проверка значения ""Product"" в таблице и ""name"" в YML feed
    21) Проверка значения ""Sale"" в таблице и ""oldprice"" в YML feed
    22) Проверка значения ""Vendor"" в таблице и в YML feed
    23) Проверка значения ""Stock"" в таблице и в YML feed
    24) Переход на общую страницу
    25) Переход на ""feed list""
    26) Открытие добавленного фида
    27) Нажатие кнопки ""Delete feed""
    28) Подверждение удаления фида
    "
"passed","Tue Jul 19 06:40:08 GMT 2022","Tue Jul 19 06:40:09 GMT 2022","1151","test_t4.test_common_bases","test_1_login","","","","1) Авторизация в системе","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
"broken","Tue Jul 19 06:40:29 GMT 2022","Tue Jul 19 06:40:48 GMT 2022","18743","test_t4.test_common_bases","test_4_base_click_edit_product","","","","4) Открытие ""Edit products"" и 1-ой карточки товаров из списка","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
