"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 06 15:54:14 GMT 2022","Mon Jun 06 15:54:15 GMT 2022","901","test_t4.test_common_bases","test_1_login","","","","test_login","
    1) Авторизация в системе T4MP.v2
    2) Переход к листингу пайплайнов
    "
"broken","Mon Jun 06 15:54:41 GMT 2022","Mon Jun 06 15:55:01 GMT 2022","20021","test_t4.test_common_bases","test_6_save_delete_yml_feed","","","","test_create_delete_yml_feed","
     1) Авторизация в системе T4MP.v2
     2) Выбор пайплайна и МП
     3) Открытие ""Feeds list""
     4) Нажатие кнопки ""Add feed""
     5) Открытие списка ""File type""
     6) Выбор типа ""Yandex Feed""
     7) Заполнение поля ""Name""
     8) Заполнение поля ""Url products""
     9) Заполнение поля ""Url prices""
    10) Заполнение поля ""Url stocks""
    11) Нажатие кнопки ""Save""
    12) Возврат на ""Feeds list""
    13) Возврат в ""Edit feed config""
    14) Проверка сохраненного ""Url products""
    15) Проверка сохраненного ""Url prices""
    16) Проверка сохраненного ""Url stocks""
    17) Проверка сохраненного ""Name"" фида
    "
"passed","Mon Jun 06 15:54:18 GMT 2022","Mon Jun 06 15:54:20 GMT 2022","1995","test_t4.test_common_bases","test_2_choice_pipeline","","","","test_choice_pipeline","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    "
"passed","Mon Jun 06 15:54:28 GMT 2022","Mon Jun 06 15:54:32 GMT 2022","4268","test_t4.test_common_bases","test_4_base_click_edit_product","","","","test_base_click_edit_product","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Edit products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Edit products""
    6) Возврат на страницу кубиков
    "
"passed","Mon Jun 06 15:54:35 GMT 2022","Mon Jun 06 15:54:39 GMT 2022","4257","test_t4.test_common_bases","test_5_base_click_published","","","","test_base_click_published","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Published products""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Published products""
    6) Возврат на страницу кубиков
    "
"passed","Mon Jun 06 15:54:22 GMT 2022","Mon Jun 06 15:54:26 GMT 2022","4202","test_t4.test_common_bases","test_3_base_click_product_feed","","","","test_base_click_product_feed","
    1) Авторизация в системе T4MP.v2
    2) Выбор пайплайна и МП
    3) Открытие ""Product feed""
    4) Открытие 1-ой карточки товаров из списка
    5) Возврат на страницу ""Product feed""
    6) Возврат на страницу кубиков
    "
